date,commodity,market,modal_price,arrivals
2020-01-01,Tomato,Pune,2428.69,88.02
2020-01-02,Tomato,Pune,2223.15,137.6
2020-01-03,Tomato,Pune,2358.97,86.11
2020-01-04,Tomato,Pune,2267.53,97.52
2020-01-05,Tomato,Pune,2319.28,104.09
2020-01-06,Tomato,Pune,2408.59,99.83
2020-01-07,Tomato,Pune,2559.53,115.1
2020-01-08,Tomato,Pune,2094.76,119.66
2020-01-09,Tomato,Pune,2360.74,97.51
2020-01-10,Tomato,Pune,2217.1,128.02
2020-01-11,Tomato,Pune,2394.71,103.94
2020-01-12,Tomato,Pune,2451.06,108.84
2020-01-13,Tomato,Pune,2369.18,99.19
2020-01-14,Tomato,Pune,2419.15,107.6
2020-01-15,Tomato,Pune,2394.24,98.13
2020-01-16,Tomato,Pune,2324.5,89.74
2020-01-17,Tomato,Pune,2531.56,116.85
2020-01-18,Tomato,Pune,2376.8,104.96
2020-01-19,Tomato,Pune,2281.07,97.02
2020-01-20,Tomato,Pune,2373.9,122.31
2020-01-21,Tomato,Pune,2469.5,74.72
2020-01-22,Tomato,Pune,2172.54,91.84
2020-01-23,Tomato,Pune,2457.86,100.95
2020-01-24,Tomato,Pune,2529.8,65.66
2020-01-25,Tomato,Pune,2511.17,94.34
2020-01-26,Tomato,Pune,2503.34,104.15
2020-01-27,Tomato,Pune,2730.54,101.24
2020-01-28,Tomato,Pune,2464.28,102.12
2020-01-29,Tomato,Pune,2341.38,85.03
2020-01-30,Tomato,Pune,2233.67,84.55
2020-01-31,Tomato,Pune,2538.09,79.28
2020-02-01,Tomato,Pune,2521.81,113.08
2020-02-02,Tomato,Pune,2492.99,103.64
2020-02-03,Tomato,Pune,2362.93,98.2
2020-02-04,Tomato,Pune,2649.61,71.56
2020-02-05,Tomato,Pune,2590.16,116.69
2020-02-06,Tomato,Pune,2533.89,67.78
2020-02-07,Tomato,Pune,2520.92,92.35
2020-02-08,Tomato,Pune,2540.54,103.82
2020-02-09,Tomato,Pune,2393.52,86.0
2020-02-10,Tomato,Pune,2471.66,81.05
2020-02-11,Tomato,Pune,2510.39,92.28
2020-02-12,Tomato,Pune,2810.91,66.59
2020-02-13,Tomato,Pune,2403.56,104.62
2020-02-14,Tomato,Pune,2604.62,124.52
2020-02-15,Tomato,Pune,2697.08,98.87
2020-02-16,Tomato,Pune,2539.9,106.25
2020-02-17,Tomato,Pune,2433.84,92.3
2020-02-18,Tomato,Pune,2331.5,97.71
2020-02-19,Tomato,Pune,2627.18,86.17
2020-02-20,Tomato,Pune,2421.0,92.16
2020-02-21,Tomato,Pune,2602.95,86.45
2020-02-22,Tomato,Pune,2620.18,69.92
2020-02-23,Tomato,Pune,2415.84,90.17
2020-02-24,Tomato,Pune,2365.11,143.95
2020-02-25,Tomato,Pune,2392.74,112.41
2020-02-26,Tomato,Pune,2446.31,88.84
2020-02-27,Tomato,Pune,2564.28,69.95
2020-02-28,Tomato,Pune,2450.43,94.19
2020-02-29,Tomato,Pune,2430.23,84.85
2020-03-01,Tomato,Pune,2663.9,102.92
2020-03-02,Tomato,Pune,2482.17,93.85
2020-03-03,Tomato,Pune,2685.26,65.59
2020-03-04,Tomato,Pune,2578.96,120.86
2020-03-05,Tomato,Pune,2775.73,54.27
2020-03-06,Tomato,Pune,2449.89,98.93
2020-03-07,Tomato,Pune,2384.2,89.01
2020-03-08,Tomato,Pune,2527.72,114.31
2020-03-09,Tomato,Pune,2540.06,96.05
2020-03-10,Tomato,Pune,2608.26,98.22
2020-03-11,Tomato,Pune,2551.34,74.39
2020-03-12,Tomato,Pune,2643.88,95.12
2020-03-13,Tomato,Pune,2418.6,87.42
2020-03-14,Tomato,Pune,2657.75,97.17
2020-03-15,Tomato,Pune,2465.79,91.72
2020-03-16,Tomato,Pune,2535.93,102.22
2020-03-17,Tomato,Pune,2703.89,87.23
2020-03-18,Tomato,Pune,2695.13,99.69
2020-03-19,Tomato,Pune,2580.25,69.54
2020-03-20,Tomato,Pune,2432.94,108.2
2020-03-21,Tomato,Pune,2351.63,102.12
2020-03-22,Tomato,Pune,2677.53,89.59
2020-03-23,Tomato,Pune,2485.82,82.27
2020-03-24,Tomato,Pune,2656.38,95.22
2020-03-25,Tomato,Pune,2524.58,109.4
2020-03-26,Tomato,Pune,2661.66,114.76
2020-03-27,Tomato,Pune,2627.49,86.83
2020-03-28,Tomato,Pune,2542.53,63.68
2020-03-29,Tomato,Pune,2577.93,91.05
2020-03-30,Tomato,Pune,2400.34,98.01
2020-03-31,Tomato,Pune,2721.18,74.53
2020-04-01,Tomato,Pune,2444.8,113.18
2020-04-02,Tomato,Pune,2636.02,134.88
2020-04-03,Tomato,Pune,2401.55,109.14
2020-04-04,Tomato,Pune,2597.49,91.39
2020-04-05,Tomato,Pune,2668.59,87.21
2020-04-06,Tomato,Pune,2326.66,88.62
2020-04-07,Tomato,Pune,2722.38,103.09
2020-04-08,Tomato,Pune,2513.45,101.42
2020-04-09,Tomato,Pune,2891.81,78.26
2020-04-10,Tomato,Pune,2555.8,95.03
2020-04-11,Tomato,Pune,2629.42,83.99
2020-04-12,Tomato,Pune,2628.66,60.09
2020-04-13,Tomato,Pune,2595.57,91.34
2020-04-14,Tomato,Pune,2528.33,86.14
2020-04-15,Tomato,Pune,2480.46,82.98
2020-04-16,Tomato,Pune,2274.53,99.4
2020-04-17,Tomato,Pune,2683.3,82.04
2020-04-18,Tomato,Pune,2626.95,73.12
2020-04-19,Tomato,Pune,2392.99,87.42
2020-04-20,Tomato,Pune,2425.49,79.63
2020-04-21,Tomato,Pune,2601.35,117.03
2020-04-22,Tomato,Pune,2466.11,70.38
2020-04-23,Tomato,Pune,2623.67,67.91
2020-04-24,Tomato,Pune,2401.52,105.76
2020-04-25,Tomato,Pune,2522.28,83.2
2020-04-26,Tomato,Pune,2548.87,86.3
2020-04-27,Tomato,Pune,2765.91,73.63
2020-04-28,Tomato,Pune,2428.0,90.45
2020-04-29,Tomato,Pune,2486.47,103.88
2020-04-30,Tomato,Pune,2295.36,108.98
2020-05-01,Tomato,Pune,2467.67,107.35
2020-05-02,Tomato,Pune,2525.15,101.17
2020-05-03,Tomato,Pune,2482.08,101.69
2020-05-04,Tomato,Pune,2726.84,74.24
2020-05-05,Tomato,Pune,2512.41,86.61
2020-05-06,Tomato,Pune,2714.47,79.31
2020-05-07,Tomato,Pune,2433.37,88.39
2020-05-08,Tomato,Pune,2502.95,82.38
2020-05-09,Tomato,Pune,2472.92,97.84
2020-05-10,Tomato,Pune,2501.12,106.83
2020-05-11,Tomato,Pune,2474.46,92.35
2020-05-12,Tomato,Pune,2543.06,126.35
2020-05-13,Tomato,Pune,2413.73,126.71
2020-05-14,Tomato,Pune,2363.88,103.28
2020-05-15,Tomato,Pune,2462.81,83.66
2020-05-16,Tomato,Pune,2585.01,100.0
2020-05-17,Tomato,Pune,2440.91,65.36
2020-05-18,Tomato,Pune,2445.75,98.66
2020-05-19,Tomato,Pune,2493.83,105.99
2020-05-20,Tomato,Pune,2723.06,91.69
2020-05-21,Tomato,Pune,2556.54,94.36
2020-05-22,Tomato,Pune,2626.44,97.31
2020-05-23,Tomato,Pune,2572.95,118.62
2020-05-24,Tomato,Pune,2507.56,90.03
2020-05-25,Tomato,Pune,2531.11,110.2
2020-05-26,Tomato,Pune,2534.93,108.91
2020-05-27,Tomato,Pune,2391.64,85.71
2020-05-28,Tomato,Pune,2403.64,79.24
2020-05-29,Tomato,Pune,2479.38,88.77
2020-05-30,Tomato,Pune,2610.84,70.6
2020-05-31,Tomato,Pune,2646.84,73.81
2020-06-01,Tomato,Pune,2308.67,89.68
2020-06-02,Tomato,Pune,2688.39,86.26
2020-06-03,Tomato,Pune,2514.71,91.05
2020-06-04,Tomato,Pune,2437.29,89.32
2020-06-05,Tomato,Pune,2451.09,103.78
2020-06-06,Tomato,Pune,2643.27,60.55
2020-06-07,Tomato,Pune,2632.02,97.04
2020-06-08,Tomato,Pune,2391.41,90.53
2020-06-09,Tomato,Pune,2557.58,95.53
2020-06-10,Tomato,Pune,2245.03,110.04
2020-06-11,Tomato,Pune,2563.21,104.74
2020-06-12,Tomato,Pune,2347.4,80.37
2020-06-13,Tomato,Pune,2380.23,148.0
2020-06-14,Tomato,Pune,2230.65,92.53
2020-06-15,Tomato,Pune,2459.78,94.14
2020-06-16,Tomato,Pune,2385.38,129.36
2020-06-17,Tomato,Pune,2303.67,102.04
2020-06-18,Tomato,Pune,2426.93,85.25
2020-06-19,Tomato,Pune,2226.46,109.38
2020-06-20,Tomato,Pune,2613.59,95.93
2020-06-21,Tomato,Pune,2403.37,99.51
2020-06-22,Tomato,Pune,2358.15,117.83
2020-06-23,Tomato,Pune,2325.1,81.04
2020-06-24,Tomato,Pune,2192.53,107.88
2020-06-25,Tomato,Pune,2506.19,97.71
2020-06-26,Tomato,Pune,2337.39,107.78
2020-06-27,Tomato,Pune,2394.39,111.02
2020-06-28,Tomato,Pune,2527.78,78.97
2020-06-29,Tomato,Pune,2084.41,105.75
2020-06-30,Tomato,Pune,2239.4,117.3
2020-07-01,Tomato,Pune,2271.36,75.41
2020-07-02,Tomato,Pune,2285.93,80.58
2020-07-03,Tomato,Pune,2542.21,99.79
2020-07-04,Tomato,Pune,2425.66,105.41
2020-07-05,Tomato,Pune,2445.34,113.59
2020-07-06,Tomato,Pune,2276.32,82.05
2020-07-07,Tomato,Pune,2236.04,104.28
2020-07-08,Tomato,Pune,2026.53,130.48
2020-07-09,Tomato,Pune,2103.23,119.26
2020-07-10,Tomato,Pune,2307.27,106.39
2020-07-11,Tomato,Pune,2267.42,106.96
2020-07-12,Tomato,Pune,2264.04,95.5
2020-07-13,Tomato,Pune,2209.63,128.9
2020-07-14,Tomato,Pune,2357.97,103.22
2020-07-15,Tomato,Pune,2205.53,102.66
2020-07-16,Tomato,Pune,2188.8,99.48
2020-07-17,Tomato,Pune,2158.86,131.88
2020-07-18,Tomato,Pune,2209.83,92.88
2020-07-19,Tomato,Pune,2138.31,97.3
2020-07-20,Tomato,Pune,2234.73,104.27
2020-07-21,Tomato,Pune,2213.44,81.85
2020-07-22,Tomato,Pune,2105.91,120.36
2020-07-23,Tomato,Pune,2269.72,113.34
2020-07-24,Tomato,Pune,2374.91,101.67
2020-07-25,Tomato,Pune,2130.32,112.03
2020-07-26,Tomato,Pune,2442.95,89.97
2020-07-27,Tomato,Pune,2312.77,101.68
2020-07-28,Tomato,Pune,2433.5,86.89
2020-07-29,Tomato,Pune,2404.19,92.61
2020-07-30,Tomato,Pune,2179.45,108.87
2020-07-31,Tomato,Pune,2300.85,131.04
2020-08-01,Tomato,Pune,2295.13,105.49
2020-08-02,Tomato,Pune,2445.39,105.6
2020-08-03,Tomato,Pune,2173.64,127.79
2020-08-04,Tomato,Pune,2159.33,98.29
2020-08-05,Tomato,Pune,2143.42,94.62
2020-08-06,Tomato,Pune,2282.42,99.23
2020-08-07,Tomato,Pune,1822.29,117.48
2020-08-08,Tomato,Pune,2174.79,120.8
2020-08-09,Tomato,Pune,2166.66,145.82
2020-08-10,Tomato,Pune,2399.2,92.58
2020-08-11,Tomato,Pune,2366.92,107.6
2020-08-12,Tomato,Pune,2254.4,116.26
2020-08-13,Tomato,Pune,2230.33,108.79
2020-08-14,Tomato,Pune,2320.15,132.38
2020-08-15,Tomato,Pune,2249.03,97.63
2020-08-16,Tomato,Pune,1972.96,144.9
2020-08-17,Tomato,Pune,2182.5,115.12
2020-08-18,Tomato,Pune,2440.46,100.2
2020-08-19,Tomato,Pune,2186.11,128.25
2020-08-20,Tomato,Pune,2262.51,112.69
2020-08-21,Tomato,Pune,2022.24,131.6
2020-08-22,Tomato,Pune,2247.94,83.91
2020-08-23,Tomato,Pune,2258.97,73.1
2020-08-24,Tomato,Pune,2479.74,78.68
2020-08-25,Tomato,Pune,2390.11,86.6
2020-08-26,Tomato,Pune,2261.96,90.24
2020-08-27,Tomato,Pune,2312.47,98.37
2020-08-28,Tomato,Pune,2247.08,104.74
2020-08-29,Tomato,Pune,2025.26,120.95
2020-08-30,Tomato,Pune,2126.98,125.0
2020-08-31,Tomato,Pune,2157.36,106.95
2020-09-01,Tomato,Pune,2385.95,134.69
2020-09-02,Tomato,Pune,2276.71,99.02
2020-09-03,Tomato,Pune,2135.87,96.68
2020-09-04,Tomato,Pune,2104.3,106.12
2020-09-05,Tomato,Pune,2413.59,94.9
2020-09-06,Tomato,Pune,2029.36,113.85
2020-09-07,Tomato,Pune,2196.52,107.07
2020-09-08,Tomato,Pune,2269.82,104.64
2020-09-09,Tomato,Pune,2264.87,92.1
2020-09-10,Tomato,Pune,2385.14,102.78
2020-09-11,Tomato,Pune,2218.35,93.9
2020-09-12,Tomato,Pune,2225.88,115.13
2020-09-13,Tomato,Pune,2027.88,88.4
2020-09-14,Tomato,Pune,2202.55,98.97
2020-09-15,Tomato,Pune,2197.6,87.13
2020-09-16,Tomato,Pune,1978.32,118.37
2020-09-17,Tomato,Pune,2122.82,77.83
2020-09-18,Tomato,Pune,2325.25,81.78
2020-09-19,Tomato,Pune,2472.21,86.15
2020-09-20,Tomato,Pune,2211.0,130.66
2020-09-21,Tomato,Pune,2339.8,130.6
2020-09-22,Tomato,Pune,1979.01,98.2
2020-09-23,Tomato,Pune,2188.47,119.46
2020-09-24,Tomato,Pune,2159.63,83.44
2020-09-25,Tomato,Pune,2220.26,102.68
2020-09-26,Tomato,Pune,2135.67,74.8
2020-09-27,Tomato,Pune,2255.92,106.34
2020-09-28,Tomato,Pune,2375.51,98.26
2020-09-29,Tomato,Pune,2227.98,117.76
2020-09-30,Tomato,Pune,1950.46,155.63
2020-10-01,Tomato,Pune,2108.35,117.48
2020-10-02,Tomato,Pune,2237.02,92.7
2020-10-03,Tomato,Pune,2381.95,103.11
2020-10-04,Tomato,Pune,2134.92,111.08
2020-10-05,Tomato,Pune,2252.53,104.46
2020-10-06,Tomato,Pune,2266.99,78.45
2020-10-07,Tomato,Pune,2071.8,79.45
2020-10-08,Tomato,Pune,2401.65,128.09
2020-10-09,Tomato,Pune,2237.72,89.7
2020-10-10,Tomato,Pune,2449.89,87.34
2020-10-11,Tomato,Pune,2138.15,111.27
2020-10-12,Tomato,Pune,2218.61,115.31
2020-10-13,Tomato,Pune,2247.26,102.34
2020-10-14,Tomato,Pune,2246.16,101.72
2020-10-15,Tomato,Pune,2236.37,112.4
2020-10-16,Tomato,Pune,2259.32,113.6
2020-10-17,Tomato,Pune,2115.66,116.65
2020-10-18,Tomato,Pune,2248.2,85.11
2020-10-19,Tomato,Pune,2138.0,118.0
2020-10-20,Tomato,Pune,2377.14,111.69
2020-10-21,Tomato,Pune,2385.92,92.99
2020-10-22,Tomato,Pune,2204.51,118.31
2020-10-23,Tomato,Pune,1896.64,141.2
2020-10-24,Tomato,Pune,1953.87,131.2
2020-10-25,Tomato,Pune,2261.02,68.87
2020-10-26,Tomato,Pune,1905.39,139.67
2020-10-27,Tomato,Pune,2327.37,88.09
2020-10-28,Tomato,Pune,2077.36,118.99
2020-10-29,Tomato,Pune,2183.29,122.88
2020-10-30,Tomato,Pune,2244.06,128.38
2020-10-31,Tomato,Pune,2304.66,113.03
2020-11-01,Tomato,Pune,2147.78,102.11
2020-11-02,Tomato,Pune,2185.67,134.59
2020-11-03,Tomato,Pune,2145.01,112.51
2020-11-04,Tomato,Pune,1926.33,127.48
2020-11-05,Tomato,Pune,2468.56,81.65
2020-11-06,Tomato,Pune,2580.66,93.91
2020-11-07,Tomato,Pune,1893.06,112.89
2020-11-08,Tomato,Pune,2363.59,129.85
2020-11-09,Tomato,Pune,2292.29,126.22
2020-11-10,Tomato,Pune,2067.0,101.52
2020-11-11,Tomato,Pune,2009.07,104.96
2020-11-12,Tomato,Pune,2304.35,105.42
2020-11-13,Tomato,Pune,2319.41,87.58
2020-11-14,Tomato,Pune,2112.61,112.96
2020-11-15,Tomato,Pune,2147.79,128.02
2020-11-16,Tomato,Pune,2147.3,101.08
2020-11-17,Tomato,Pune,2275.37,97.55
2020-11-18,Tomato,Pune,2079.48,94.73
2020-11-19,Tomato,Pune,2294.81,82.23
2020-11-20,Tomato,Pune,2400.57,88.02
2020-11-21,Tomato,Pune,2309.54,92.56
2020-11-22,Tomato,Pune,2128.48,112.95
2020-11-23,Tomato,Pune,2367.27,96.0
2020-11-24,Tomato,Pune,2235.98,117.07
2020-11-25,Tomato,Pune,2347.52,99.92
2020-11-26,Tomato,Pune,2196.3,107.79
2020-11-27,Tomato,Pune,2229.49,109.92
2020-11-28,Tomato,Pune,2112.0,114.08
2020-11-29,Tomato,Pune,2172.07,121.11
2020-11-30,Tomato,Pune,2180.55,97.35
2020-12-01,Tomato,Pune,2317.7,101.91
2020-12-02,Tomato,Pune,2540.49,68.34
2020-12-03,Tomato,Pune,2283.54,120.0
2020-12-04,Tomato,Pune,2204.05,92.58
2020-12-05,Tomato,Pune,2172.06,83.34
2020-12-06,Tomato,Pune,2441.67,91.79
2020-12-07,Tomato,Pune,2229.1,73.37
2020-12-08,Tomato,Pune,2114.01,131.82
2020-12-09,Tomato,Pune,2325.64,118.87
2020-12-10,Tomato,Pune,2417.29,82.7
2020-12-11,Tomato,Pune,2587.33,120.15
2020-12-12,Tomato,Pune,2231.36,51.62
2020-12-13,Tomato,Pune,2259.52,107.59
2020-12-14,Tomato,Pune,2237.48,101.58
2020-12-15,Tomato,Pune,2209.49,119.84
2020-12-16,Tomato,Pune,2319.9,115.88
2020-12-17,Tomato,Pune,2462.28,63.29
2020-12-18,Tomato,Pune,2226.52,95.98
2020-12-19,Tomato,Pune,2630.92,91.4
2020-12-20,Tomato,Pune,2423.25,69.26
2020-12-21,Tomato,Pune,2346.32,115.22
2020-12-22,Tomato,Pune,2435.98,106.31
2020-12-23,Tomato,Pune,2337.52,101.82
2020-12-24,Tomato,Pune,2136.19,95.44
2020-12-25,Tomato,Pune,2370.52,88.84
2020-12-26,Tomato,Pune,2428.9,104.25
2020-12-27,Tomato,Pune,2513.76,108.22
2020-12-28,Tomato,Pune,2380.39,110.4
2020-12-29,Tomato,Pune,2477.17,87.7
2020-12-30,Tomato,Pune,2320.48,100.13
2020-12-31,Tomato,Pune,2306.38,117.38
2021-01-01,Tomato,Pune,2288.17,121.65
2021-01-02,Tomato,Pune,2322.85,108.57
2021-01-03,Tomato,Pune,2390.29,84.15
2021-01-04,Tomato,Pune,2371.37,104.55
2021-01-05,Tomato,Pune,2369.48,79.48
2021-01-06,Tomato,Pune,2584.79,92.32
2021-01-07,Tomato,Pune,2288.73,127.16
2021-01-08,Tomato,Pune,2461.54,77.94
2021-01-09,Tomato,Pune,2265.52,100.44
2021-01-10,Tomato,Pune,2429.94,106.54
2021-01-11,Tomato,Pune,2511.67,102.03
2021-01-12,Tomato,Pune,2562.63,93.8
2021-01-13,Tomato,Pune,2313.23,101.82
2021-01-14,Tomato,Pune,2399.46,59.75
2021-01-15,Tomato,Pune,2343.71,105.36
2021-01-16,Tomato,Pune,2363.49,90.17
2021-01-17,Tomato,Pune,2527.06,79.57
2021-01-18,Tomato,Pune,2506.38,74.15
2021-01-19,Tomato,Pune,2755.55,80.94
2021-01-20,Tomato,Pune,2388.71,116.0
2021-01-21,Tomato,Pune,2380.49,121.0
2021-01-22,Tomato,Pune,2478.54,93.48
